pais,Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;;
ALEMANIA REP. FED.,PUERTO BARRIOS,18/02/2017, 8703237900,2006,BMW,3-SERIES 325XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,7229.47,867.54,;;
ESTADOS UNIDOS,EL CARMEN,20/02/2017, 8703236900,1998,BMW,Z3,1900,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,2,2,0,13138.36,1576.6,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,17/02/2017, 8703237900,2011,BMW,328I XDRIVE,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,34137.91,4096.55,;;
ESTADOS UNIDOS,EL CARMEN,10/02/2017, 8703249000,2003,BMW,X5 4WD,4400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21419.42,2570.33,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,17/02/2017, 8703237900,2011,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,29470.62,3536.47,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,09/02/2017, 8703237900,2006,BMW,3 SERIES 325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13297.89,1595.75,;;
ALEMANIA REP. FED.,TECUN UMAN,13/02/2017, 8703236900,2014,BMW,328i,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,58268.78,6992.25,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,13/02/2017, 8703237900,2001,BMW,330I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8655.25,1038.63,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,24/02/2017, 8703237900,2008,BMW,328XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23784.04,2854.08,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,17/02/2017, 8703237900,2008,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,33397.51,4007.7,;;
ESTADOS UNIDOS,PUERTO BARRIOS,01/03/2017, 8703237900,2003,BMW,X5 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14958.06,1794.97,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,28/02/2017, 8703237900,2005,BMW,330CI CONVERTIBLE,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10338.01,1240.56,;;
ESTADOS UNIDOS,PUERTO BARRIOS,16/02/2017, 8703237900,2012,BMW,X3 XDRIVE 35I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,62956.58,7554.79,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,16/02/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14801.98,1776.24,;;
ALEMANIA REP. FED.,G8; CENTRALSA,02/03/2017, 8703236900,2004,BMW,545I,4400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11053.66,1326.44,;
ALEMANIA REP. FED.,PUERTO BARRIOS,10/02/2017, 8703249000,2003,BMW,745LI,4400,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,6454.45,774.53,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,17/02/2017, 8703237900,2006,BMW,330XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18502.43,2220.29,;;
ALEMANIA REP. FED.,TECUN UMAN,09/02/2017, 8703237900,2004,BMW,325XI,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19188.23,2302.59,;;
ALEMANIA REP. FED.,EL CARMEN,24/02/2017, 8703249000,2005,BMW,M3 CONVERTIBLE,3200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,97529.87,11703.58,;;
ALEMANIA REP. FED.,TECUN UMAN,26/02/2017, 8703237900,2001,BMW,325i,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,11785.42,1414.25,;;
ESTADOS UNIDOS,G1; INTEGRADA,02/03/2017, 8703237900,2011,BMW,X3 XDRIVE28i,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,49685.8,5962.3,;
ALEMANIA REP. FED.,PUERTO BARRIOS,16/02/2017, 8703237900,2007,BMW,335XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22595.62,2711.47,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,01/03/2017, 8703237900,2007,BMW,530I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,22678.13,2721.38,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,28/02/2017, 8703237900,2004,BMW,X3 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22017.08,2642.05,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,11/02/2017, 8703237900,2007,BMW,328I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14039.17,1684.7,;;
ESTADOS UNIDOS,PUERTO BARRIOS,28/02/2017, 8703237900,2012,BMW,X5 XDRIVE 35i,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,62828.64,7539.44,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,06/03/2017, 8703237900,2008,BMW,3 SERIES 328XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,19393.36,2327.2,;;
ALEMANIA REP. FED.,SANTO TOMAS DE CASTILLA,08/02/2017, 8703237900,2007,BMW,328XI,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14763.64,1771.64,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,11/02/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13265.82,1591.9,;;
ALEMANIA REP. FED.,TECUN UMAN,17/02/2017, 8703237900,2006,BMW,325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16247.84,1949.74,;;
ESTADOS UNIDOS,PUERTO BARRIOS,27/02/2017, 8703237900,2013,BMW,X5 XDRIVE35I AWD,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33977.33,4077.28,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,11/02/2017, 8703237900,2006,BMW,3 SERIES 325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,16098.94,1931.87,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,13/02/2017, 8703237900,2006,BMW,325I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14264.45,1711.73,;;
ALEMANIA REP. FED.,PUERTO BARRIOS,24/02/2017, 8703237900,2006,BMW,3 SERIES 325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,18784.62,2254.15,;;
ESTADOS UNIDOS,G8; CENTRALSA,06/03/2017, 8703237900,2015,BMW,X5 SDRIVE35I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,226658.94,27199.07,;
ALEMANIA REP. FED.,PUERTO BARRIOS,16/02/2017, 8703237900,2003,BMW,3 SERIES 330I,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,10171.73,1220.61,;;
ALEMANIA REP. FED.,TECUN UMAN,16/02/2017, 8703237900,2006,BMW,325i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,27581.47,3309.78,;;
