Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;;
CANADA,TECUN UMAN,05/09/2016, 87032490,2002,ACURA,MDX 4X4,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,26239.9,3148.79,;;
JAPON,EL CARMEN,04/09/2016, 87032369,2002,ACURA,RSX,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,2,0,10334.6,1240.15,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
CHINA,PUERTO QUETZAL,09/08/2016, 87112090,2017,APRILIA,ETX 150,149,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,9123.48,1094.82,;;
COREA DEL SUR,TECUN UMAN,15/08/2016, 87032269,2013,BUICK,ENCORE 2WD,1400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,33164.47,3979.74,;;
ESTADOS UNIDOS,PUERTO BARRIOS,25/08/2016, 87032379,2003,BMW,X5 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,17624.18,2114.9,;;
ALEMANIA REP. FED.,TECUN UMAN,03/09/2016, 87032379,2002,BMW,325 Ci,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,4,2,0,13714.08,1645.69,;;
ALEMANIA REP. FED.,EL CARMEN,19/08/2016, 87032379,2000,BMW,323i,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17323.86,2078.86,;;
