CHINA,PUERTO QUETZAL,11/04/2016, 87112090,2017,APRILIA,SR MOTARD 125,124,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,11157.01,1338.84,;
ESTADOS UNIDOS,TECUN UMAN,26/04/2016, 87042290,1984,AM GENERAL,M923 6X6,14000,PESADO,CAMION,OCASIONAL,DIESEL,3,2,5,28021.7,3362.6,;
ESTADOS UNIDOS,TECUN UMAN,26/04/2016, 87042290,1984,AM GENERAL,M923 6X6,14000,PESADO,CAMION,OCASIONAL,DIESEL,3,2,5,27247.62,3269.71,;
ESTADOS UNIDOS,TECUN UMAN,26/04/2016, 87042290,1986,AM GENERAL,M923A1  6X6,14000,PESADO,CAMION,OCASIONAL,DIESEL,3,2,10,21054.98,2526.6,;
ESTADOS UNIDOS,TECUN UMAN,26/04/2016, 87041000,1991,AM GENERAL,BMY M930A2 6X6,8300,PESADO,CAMION VOLTEO,OCASIONAL,DIESEL,3,2,10,89174.02,10700.88,;
ESTADOS UNIDOS,TECUN UMAN,26/04/2016, 87012000,1991,AM GENERAL,BMY M931A2 6X6,8300,PESADO,CABEZAL,OCASIONAL,DIESEL,3,2,15,45825.54,5499.06,;
ESTADOS UNIDOS,TECUN UMAN,17/04/2016, 87042290,1981,AM GENERAL,M818 6X6,11100,PESADO,CAMION,OCASIONAL,DIESEL,3,2,10,25707.09,3084.85,;
ALEMANIA REP. FED.,EL CARMEN,23/04/2016, 87032379,2009,BMW,335Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,28329.5,3399.54,;
ALEMANIA REP. FED.,G8; CENTRALSA,15/04/2016, 87032379,2001,BMW,325I,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13954.14,1674.5,
GUYANA,TECUN UMAN,11/04/2016, 87032490,2006,BMW,X3 3.0I,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27666.96,3320.04,;
ALEMANIA REP. FED.,PUERTO BARRIOS,19/04/2016, 87032369,2014,BMW,320I XDRIVE,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,94278.33,11313.4,;
ALEMANIA REP. FED.,EL CARMEN,10/04/2016, 87114090,2008,BMW,F8005T,800,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,22969.68,2756.36,;
ALEMANIA REP. FED.,PUERTO BARRIOS,26/04/2016, 87032379,2006,BMW,325 Xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,25024.39,3002.93,;
ALEMANIA REP. FED.,PUERTO BARRIOS,25/04/2016, 87032379,2007,BMW,530xi,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,24638.97,2956.68,;
ESTADOS UNIDOS,PUERTO BARRIOS,22/04/2016, 87032379,2002,BMW,X5 3.0I 4X4,3000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,14845.9,1781.51,;
ALEMANIA REP. FED.,EL CARMEN,22/04/2016, 87032379,2011,BMW,328i,3000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,40466.29,4855.95,;
ESTADOS UNIDOS,PUERTO BARRIOS,25/04/2016, 87032379,2011,BMW,X3 XDRIVE 28i,2800,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,71021.84,8522.62,;
