"JAPON,SANTO TOMAS DE CASTILLA,21/03/2018, 8703236900,2010,MAZDA,MAZDA3 I SPORT,2000,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,17826.77,2139.21,",
"JAPON,EL CARMEN,21/03/2018, 8703249000,2015,TOYOTA,4RUNNER SR5 4WD,4000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,67929.25,8151.51,",
"ESTADOS UNIDOS,TECUN UMAN,22/03/2018, 8704315100,2000,TOYOTA,TACOMA XTRACAB V6 4WD,3400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,19483.41,2338.01,",
"CANADA,EL CARMEN,21/03/2018, 8703236900,2003,TOYOTA,COROLLA LE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14910.4,1789.25,",
"MEXICO,EL CARMEN,21/03/2018, 8703236900,2012,NISSAN,VERSA SL,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,14984.39,1798.13,",
"ESTADOS UNIDOS,EL CARMEN,21/03/2018, 8703236900,2002,HONDA,CIVIC LX,1700,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,8642.85,1037.14,",
"JAPON,EL CARMEN,22/03/2018, 8711309000,2002,HONDA,XR400R,400,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,8831.99,1059.84,",
"JAPON,TECUN UMAN,22/03/2018, 8703237900,2008,SUBARU,IMPREZA 2.5i,2500,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,32410.69,3889.28,",
"CANADA,TECUN UMAN,23/03/2018, 8703236900,2001,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,13911.44,1669.37,",
"CANADA,EL CARMEN,22/03/2018, 8703237900,2016,HONDA,CR-V SE 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,56646.23,6797.55,",
"CANADA,EL CARMEN,22/03/2018, 8703237900,2011,TOYOTA,RAV4 4WD,2500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,47211.36,5665.36,",
"REINO UNIDO,EL CARMEN,22/03/2018, 8703237900,2004,HONDA,CR-V EX 4WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,21311.71,2557.41,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,CENTURO-NXT,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,97495.38,11699.45,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,CENTURO-NXT,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,97495.38,11699.45,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,CENTURO-NXT,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,97495.38,11699.45,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711309000,2018,MAHINDRA,MOJO MAHINDRA,330,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,38580.71,4629.69,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711309000,2018,MAHINDRA,MOJO MAHINDRA,330,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,38580.71,4629.69,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,GUSTO 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,109570.3,13148.44,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,GUSTO 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,109570.3,13148.44,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,GUSTO 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,109570.3,13148.44,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,GUSTO 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,109570.3,13148.44,",
"INDIA,PUERTO QUETZAL,27/03/2018, 8711209000,2018,MAHINDRA,GUSTO 125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,1,0,0,109570.3,13148.44,",
"JAPON,EL CARMEN,27/03/2018, 8704315100,1985,TOYOTA,4X2 STD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,22072.08,2648.65,",
"JAPON,EL CARMEN,27/03/2018, 8704315100,1991,TOYOTA,DLX REG. CAB 4WD,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,23197.13,2783.66,",
"JAPON,EL CARMEN,27/03/2018, 8704315100,1989,TOYOTA,XTRA CAB 4X2 SR5,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,21135.07,2536.21,",
"COREA DEL SUR,TECUN UMAN,28/03/2018, 8703237900,2005,HYUNDAI,TUCSON V6 2WD,2700,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,20199.82,2423.98,",
"ESTADOS UNIDOS,SANTO TOMAS DE CASTILLA,28/03/2018, 8703248000,2006,DODGE,GRAN CARAVAN,3300,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,7,4,0,23982.66,2877.92,",
"JAPON,EL CARMEN,31/03/2018, 8703237900,2008,HONDA,CR-V 4X4 EX-L,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,27229.06,3267.49,",
