Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo_del_Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
TAILANDIA,EL CARMEN,02/05/2019, 8703225900,2014,MITSUBISHI,MIRAGE ES,1200,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,23429.81,2811.58,;
ESTADOS UNIDOS,EL CARMEN,02/05/2019, 8704315100,2002,TOYOTA,TACOMA SR5 XTRA CAB 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,37153.01,4458.36,;
ESTADOS UNIDOS,EL CARMEN,02/05/2019, 8703236900,2015,MITSUBISHI,OUTLANDER SPORT ES 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,36637.79,4396.53,;
ESTADOS UNIDOS,EL CARMEN,02/05/2019, 8703236900,2006,TOYOTA,COROLLA CE,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,20236.92,2428.43,;
JAPON,EXPRESS AEREO,03/05/2019, 8703249000,2008,TOYOTA,HIGHLANDER SPORT 2WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,5,0,74478,8937.36,;
ESTADOS UNIDOS,PUERTO BARRIOS,02/05/2019, 8703236900,2007,HONDA,CIVIC EX,1800,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,29857.69,3582.92,;
MEXICO,PUERTO BARRIOS,02/05/2019, 8703236900,2012,FORD,FIESTA SE,1600,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0,12771.54,1532.58,;
REINO UNIDO,SANTO TOMAS DE CASTILLA,02/05/2019, 8703237900,2006,HONDA,CR-V LX 4X4,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0,15371.79,1844.61,;
ESTADOS UNIDOS,G8; CENTRALSA,03/05/2019, 8703237900,2005,HONDA,ELEMENT EX,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,4,4,0,11199.3,1343.92,
JAPON,G1; INTEGRADA,06/05/2019, 8703237900,2004,TOYOTA,RAV4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,23276.67,2793.2,
JAPON,TECUN UMAN,02/05/2019, 8703247000,1997,TOYOTA,4RUNNER LIMITED 4WD,3400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,24103.61,2892.43,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
CHINA,PUERTO QUETZAL,04/05/2019, 8711209000,2019,ITALIKA,CS125,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,267619.1,32114.29,;
ESTADOS UNIDOS,TECUN UMAN,02/05/2019, 8704315100,1998,TOYOTA,TACOMA  XTRACAB SR5  4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1,22817.26,2738.07,;
JAPON,TECUN UMAN,02/05/2019, 8703237900,2006,TOYOTA,RAV4 2WD,2400,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,22648.81,2717.86,;
