Pais_de_Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto,Impuesto;
ESTADOS UNIDOS,EL CARMEN,12/03/2019, 8703249000,2010,HONDA,PILOT LX 2WD,3500,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,7,4,0,39087.55,4690.51,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
INDIA,PUERTO QUETZAL,12/03/2019, 8711209000,2019,SUZUKI,UR110EZ,110,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,264401.21,31728.15,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
CHINA,PUERTO QUETZAL,11/03/2019, 8711209000,2019,ITALIKA,GS150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,320333.11,38439.97,;
