Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
CHINA,PUERTO QUETZAL,06/03/2019, 8711209000,2019,SUZUKI,GN125F,125,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,612292.04,73475.04,;
