Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
ESTADOS UNIDOS,EL CARMEN,15/01/2019, 8704315100,1994,TOYOTA,4X4 DLX,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,27651.2,3318.14,;
ESTADOS UNIDOS,EL CARMEN,15/01/2019, 8704315100,1994,TOYOTA,STANDARD 4X2,2400,LIVIANO,PICK UP,OCASIONAL,GASOLINA,2,2,1,26878.82,3225.46,;
JAPON,EL CARMEN,15/01/2019, 8703236900,2003,TOYOTA,RAV4 2WD,2000,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0,18382.64,2205.92,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
CHINA,PUERTO QUETZAL,17/01/2019, 8711209000,2019,SERPENTO,DEFENDER 150,150,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0,433062.25,51967.47,;
